stock_code,close_price,MA120,MA250,price_x1.1,filter_reason
688280,4.34,4.56,4.72,4.77,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603956,5.45,5.25,5.78,6.0,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688701,5.46,5.46,5.55,6.01,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603071,12.36,12.12,12.78,13.6,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688387,5.66,5.86,5.85,6.23,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
605287,11.45,12.19,12.56,12.6,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601019,10.61,11.39,10.98,11.67,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603693,9.49,9.91,10.5,10.44,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
300977,16.62,17.97,16.45,18.28,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
605599,10.9,10.96,12.06,11.99,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
301339,19.6,20.29,18.98,21.56,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
002037,7.37,7.84,7.15,8.11,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
301552,56.76,51.89,,62.44,收盘价*1.1 >= MA120
603001,4.95,4.99,4.8,5.45,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
301062,11.17,11.68,10.7,12.29,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603108,14.97,16.27,16.69,16.47,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002487,20.27,21.15,21.53,22.3,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603948,17.79,17.56,17.93,19.57,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
603285,22.9,21.74,,25.19,收盘价*1.1 >= MA120
688126,17.9,18.9,16.45,19.69,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
001286,9.05,9.63,9.74,9.96,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601966,18.25,18.01,19.13,20.08,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
688310,10.45,11.41,13.95,11.5,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
301223,15.78,16.03,15.58,17.36,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
600721,6.6,6.84,6.36,7.26,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
600481,5.41,5.18,5.83,5.95,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600285,21.88,22.37,21.92,24.07,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603105,8.26,8.38,8.82,9.09,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
300118,11.03,12.08,13.01,12.13,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
601677,12.42,12.51,12.0,13.66,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
605222,15.24,15.79,16.27,16.76,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600167,5.55,5.72,5.61,6.11,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688479,17.15,17.17,17.03,18.86,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601000,4.32,4.71,4.47,4.75,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
301002,16.01,16.64,15.85,17.61,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
300998,14.56,14.98,17.99,16.02,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
688271,122.32,120.15,123.5,134.55,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
001359,27.16,23.26,,29.88,收盘价*1.1 >= MA120
688269,24.2,24.92,25.84,26.62,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
002237,10.82,10.48,10.83,11.9,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
000708,11.13,11.85,13.08,12.24,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002322,12.79,13.75,13.16,14.07,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600995,9.65,10.01,9.86,10.62,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688659,6.44,6.77,6.9,7.08,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600873,9.78,9.99,10.11,10.76,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600961,8.28,8.07,9.04,9.11,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
301248,15.0,15.31,14.64,16.5,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
002642,6.84,7.02,6.45,7.52,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
601222,6.85,7.0,6.52,7.54,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
000778,3.51,3.71,3.7,3.86,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688480,28.14,27.49,29.65,30.95,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
601696,10.59,10.59,10.2,11.65,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603059,21.32,21.82,21.57,23.45,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
603993,7.11,7.4,7.47,7.82,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601615,10.8,11.11,10.34,11.88,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
600379,9.03,9.2,8.8,9.93,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
002038,7.27,7.26,7.75,8.0,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
300698,34.9,37.21,34.44,38.39,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
300151,16.55,17.38,16.2,18.21,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
301307,20.48,21.54,22.35,22.53,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
688106,16.84,17.76,18.13,18.52,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
300575,5.71,6.16,6.14,6.28,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
600557,13.34,13.91,16.02,14.67,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
002653,32.4,33.31,30.2,35.64,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603091,45.8,,,50.38,
600985,13.47,14.69,15.9,14.82,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
600528,7.71,7.76,7.64,8.48,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
603301,21.55,21.87,21.17,23.71,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120
600872,21.86,20.9,22.92,24.05,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
002191,4.0,4.05,4.06,4.4,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
601096,4.18,4.31,4.68,4.6,收盘价*1.1 >= MA120 且 收盘价 <= MA120 且 收盘价 <= MA250
603073,14.86,14.5,15.07,16.35,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA250
600406,23.53,25.02,23.99,25.88,收盘价*1.1 >= MA120 且 收盘价*1.1 >= MA250 且 收盘价 <= MA120 且 收盘价 <= MA250
