序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5384,603129,春风动力,201.3,-1.32,-2.7,16433.0,330297458.0,3.59,204.83,197.5,204.01,204.0,0.66,1.09,21.14,5.26,30483234022.0,30483234022.0,-0.32,-0.28,30.37,28.16
5385,688408,中信博,58.83,-1.33,-0.79,51579.0,303251919.0,2.63,59.92,58.35,59.62,59.62,0.87,2.55,22.56,3.06,12855292750.0,11906290136.0,-0.1,-0.05,-28.78,-18.29
5386,603311,金海高科,11.17,-1.33,-0.15,79985.0,88751830.0,1.86,11.22,11.01,11.21,11.32,1.37,3.39,38.84,2.03,2634823241.0,2634823241.0,0.09,0.18,15.87,11.81
5387,002203,海亮股份,10.41,-1.33,-0.14,72235.0,75989288.64,2.27,10.65,10.41,10.6,10.55,0.99,0.37,17.75,1.51,20802511242.0,20072265846.0,-0.19,-0.19,11.7,-3.16
5388,601898,中煤能源,11.14,-1.33,-0.15,212253.0,237473491.0,1.68,11.32,11.13,11.31,11.29,1.15,0.23,7.58,0.99,147701510276.0,101953284456.0,-0.18,0.0,-14.77,-8.54
5389,603486,科沃斯,49.47,-1.34,-0.67,100642.0,497136766.0,2.99,50.5,49.0,50.5,50.14,0.76,1.77,34.71,4.15,28459854880.0,28158404488.0,-0.02,-0.04,-9.41,5.26
5390,601636,旗滨集团,5.89,-1.34,-0.08,200952.0,118463674.0,1.68,5.96,5.86,5.96,5.97,0.94,0.75,16.96,1.19,15805913734.0,15805913734.0,-0.17,0.0,-12.87,4.99
5391,002634,棒杰股份,3.67,-1.34,-0.05,343075.0,125630788.4,4.84,3.8,3.62,3.73,3.72,3.11,7.68,-6.61,1.95,1685823723.0,1638708354.0,0.55,0.55,-14.85,-2.39
5392,002125,湘潭电化,10.93,-1.35,-0.15,252840.0,275271502.2,2.71,11.09,10.79,11.01,11.08,1.37,4.02,21.13,2.35,6880235123.0,6880235123.0,0.0,0.09,-3.79,8.43
5393,002709,天赐材料,19.66,-1.35,-0.27,460777.0,899331607.2,3.56,20.02,19.31,20.01,19.93,1.6,3.33,83.63,2.91,37724100503.0,27229432077.0,0.0,0.1,-6.47,-0.3
5394,003005,竞业达,40.01,-1.36,-0.55,250004.0,1023918196.23,11.69,43.52,38.78,41.3,40.56,1.98,33.87,203.77,3.55,6612758256.0,2953581491.0,-0.02,-0.87,43.3,47.53
5395,002892,科力尔,17.92,-1.38,-0.25,409620.0,733858605.29,3.08,18.27,17.71,18.12,18.17,0.83,10.33,117.99,8.5,11124751895.0,7105205435.0,0.06,0.0,11.58,16.36
5396,688516,奥特维,43.0,-1.38,-0.6,59125.0,253558246.0,2.34,43.62,42.6,43.61,43.6,1.14,2.03,8.71,3.13,13543537183.0,12523381705.0,0.02,-0.02,-18.41,-0.72
5397,688633,星球石墨,26.49,-1.38,-0.37,9650.0,25493947.0,2.72,26.88,26.15,26.88,26.86,0.78,0.67,29.32,2.49,3841282715.0,3808287300.0,0.0,-0.23,7.64,-4.26
5398,000573,粤宏远Ａ,4.29,-1.38,-0.06,940403.0,399020092.78,3.45,4.32,4.17,4.22,4.35,0.68,14.86,-52.98,1.72,2738223791.0,2715419074.0,-0.23,-0.46,39.29,43.48
5399,301285,鸿日达,30.01,-1.38,-0.42,37272.0,111689315.38,3.19,30.66,29.69,30.43,30.43,1.15,4.74,157.32,5.84,6202166700.0,2362081338.0,0.03,0.03,15.2,4.64
5400,600285,羚锐制药,21.42,-1.38,-0.3,84696.0,183041229.0,2.49,21.94,21.4,21.63,21.72,1.52,1.5,15.88,4.2,12147613710.0,12120838710.0,-0.09,0.0,-5.22,-3.34
5401,600366,宁波韵升,8.5,-1.39,-0.12,412047.0,349073946.0,3.83,8.66,8.33,8.59,8.62,0.93,3.88,101.34,1.59,9341848934.0,9035857306.0,0.0,0.12,2.91,15.49
5402,603897,长城科技,24.03,-1.4,-0.34,51637.0,123841855.0,2.38,24.39,23.81,24.35,24.37,1.09,2.5,19.7,1.98,4960649414.0,4960649414.0,0.08,0.13,8.68,2.26
5403,001207,联科科技,21.19,-1.4,-0.3,36668.0,77502029.79,4.14,21.79,20.9,21.52,21.49,0.93,1.82,16.1,2.35,4287922877.0,4257792180.0,0.0,0.05,-8.03,9.28
5404,603061,金海通,78.74,-1.4,-1.12,8204.0,64684637.0,1.68,79.5,78.16,78.72,79.86,0.72,1.96,78.87,3.7,4724400000.0,3293405539.0,0.01,0.04,-5.12,9.24
