序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2422,301586,佳力奇,52.46,1.18,0.61,16829.0,88156917.6,2.74,52.99,51.57,51.81,51.85,1.61,8.55,41.54,3.54,4352894887.0,1032021291.0,0.0,0.15,-28.25,-7.69
2423,301081,严牌股份,9.46,1.18,0.11,24382.0,23123995.32,3.42,9.63,9.31,9.4,9.35,1.18,1.24,34.74,2.01,1946597141.0,1859396072.0,0.42,0.42,10.0,11.56
2424,002376,新北洋,6.88,1.18,0.08,280452.0,192455262.02,3.24,6.96,6.74,6.8,6.8,1.47,3.56,107.13,1.5,5576670282.0,5417756138.0,0.15,0.0,-1.43,5.52
2425,603395,红四方,47.36,1.17,0.55,56039.0,265851196.0,3.08,47.95,46.51,46.8,46.81,1.39,13.89,63.51,6.76,9472000000.0,1910955398.0,0.06,0.04,493.48,-10.0
2426,600368,五洲交通,4.31,1.17,0.05,414804.0,178461207.0,3.76,4.37,4.21,4.24,4.26,1.19,2.58,9.19,1.03,6937608128.0,6937608128.0,0.23,0.23,12.83,-9.64
2427,600366,宁波韵升,8.62,1.17,0.1,789708.0,682176403.0,5.52,8.86,8.39,8.5,8.52,2.49,7.43,102.77,1.61,9473733860.0,9163422350.0,0.0,-0.12,4.74,17.12
2428,000785,居然智家,3.45,1.17,0.04,1284840.0,440824340.15,4.4,3.5,3.35,3.38,3.41,1.15,2.18,22.02,1.06,21483318408.0,20347907304.0,0.0,0.0,17.75,-3.36
2429,000692,惠天热电,3.45,1.17,0.04,84480.0,29044923.0,2.64,3.48,3.39,3.41,3.41,1.18,1.59,-3.03,-6.63,1838273767.0,1838273767.0,0.29,0.58,-8.24,-1.15
2430,000558,莱茵体育,3.45,1.17,0.04,910559.0,313015798.06,3.23,3.49,3.38,3.38,3.41,1.28,7.07,-377.27,4.12,4447822624.0,4445961898.0,0.0,0.58,10.22,1.17
2431,300640,德艺文创,6.04,1.17,0.07,223494.0,135160226.0,3.35,6.14,5.94,5.99,5.97,1.44,10.06,125.37,2.34,1887212659.0,1341994410.0,0.5,-0.17,14.61,7.09
2432,300071,福石控股,6.05,1.17,0.07,1947115.0,1160790685.5,9.03,6.27,5.73,5.8,5.98,1.39,21.04,-146.31,22.8,5831500233.0,5599520745.0,0.0,0.33,41.36,27.64
2433,601101,昊华能源,7.78,1.17,0.09,105069.0,81300918.0,2.73,7.83,7.62,7.62,7.69,1.05,0.73,7.51,0.93,11203183864.0,11203183864.0,0.0,0.13,-11.19,-5.47
2434,600280,中央商场,3.46,1.17,0.04,448271.0,154695799.0,3.8,3.5,3.37,3.38,3.42,1.39,3.97,-114.3,4.8,3904038366.0,3904038366.0,-0.29,0.0,-13.28,-15.82
2435,600478,科力远,4.33,1.17,0.05,227539.0,98314958.0,2.1,4.36,4.27,4.28,4.28,1.26,1.37,262.94,2.67,7211792166.0,7211792166.0,0.0,0.23,-2.26,4.84
2436,002370,亚太药业,3.47,1.17,0.04,466202.0,162360214.85,3.5,3.55,3.43,3.46,3.43,1.5,6.4,-548.09,3.14,2528194065.0,2528194065.0,0.0,0.29,4.52,13.77
2437,002023,海特高新,10.42,1.17,0.12,204818.0,213734437.0,2.82,10.54,10.25,10.3,10.3,1.56,2.76,93.54,1.81,7719763649.0,7719763649.0,-0.19,0.1,-14.24,2.66
2438,000876,新 希 望,8.69,1.16,0.1,295217.0,255405966.28,2.33,8.74,8.54,8.58,8.59,1.59,0.66,192.47,1.84,39330406851.0,39102279326.0,-0.11,-0.11,-14.38,-3.23
2439,603079,圣达生物,13.91,1.16,0.16,60652.0,84005163.0,3.78,14.07,13.55,13.67,13.75,0.93,3.54,82.38,1.9,2381238406.0,2381238406.0,0.22,0.29,-0.64,3.27
