Index,Stock Code,FilteredBy
592,300055,Filter2
593,002162,Filter2
594,002181,Filter3
595,688310,
596,000518,
597,002990,Filter2
598,688509,Filter2
599,301082,Filter2
600,601595,Filter2
601,688288,Filter2
602,300113,Filter1
603,301349,Filter2
604,002146,Filter1
605,002561,Filter3
606,002368,Filter2
607,601933,Filter2
608,600880,Filter3
609,300652,Filter2
610,002603,
611,300920,Filter2
612,600187,
613,002671,Filter2
614,300746,
615,002877,Filter2
616,002512,Filter2
617,301073,Filter2
618,300198,Filter2
619,300150,Filter2
620,600748,Filter2
621,002416,Filter2
622,603612,Filter1
623,002622,Filter2
624,300533,Filter2
625,688682,Filter2
626,688004,Filter2
627,600824,Filter2
628,000931,Filter2
629,600148,Filter2
630,300605,Filter2
631,300389,
632,688130,Filter2
633,600262,Filter2
634,603233,
635,605089,Filter2
636,002697,Filter2
637,300045,
638,000759,Filter2
639,688092,Filter2
640,300886,Filter2
641,300928,Filter2
642,000607,Filter2
643,688301,
644,688670,
645,002127,Filter2
646,300314,Filter2
647,002356,
648,300199,Filter2
649,300521,Filter2
650,600280,Filter3
651,603137,Filter2
652,600992,
653,688398,
654,600778,Filter2
655,300639,
656,002400,Filter2
657,002857,Filter2
658,002581,
659,600697,Filter3
660,002593,Filter2
661,002905,Filter1
662,300106,Filter2
663,688088,Filter2
664,003004,Filter2
665,688143,Filter2
666,600865,Filter2
667,002095,Filter2
668,002927,Filter3
669,300195,Filter2
670,300560,Filter2
671,688777,Filter1
672,603739,Filter3
673,300051,
674,300807,Filter2
675,301205,Filter1
676,300703,Filter2
677,000576,Filter2
678,603607,Filter2
679,300520,Filter2
680,300997,Filter2
681,688296,Filter2
682,688003,Filter2
683,600868,Filter2
684,688758,
685,002813,
686,603276,Filter2
687,300966,
688,301185,Filter2
689,002298,Filter2
690,300239,Filter2
691,300588,Filter1
692,002731,Filter3
693,002481,Filter2
694,600756,Filter1
695,300175,
696,603536,Filter2
697,300845,Filter2
698,301172,
699,300440,Filter2
700,301103,
701,600309,
702,300460,
703,300838,Filter2
704,300567,Filter2
705,002659,Filter3
706,300688,Filter2
707,688127,Filter2
708,301189,Filter2
709,605001,Filter2
710,603030,Filter2
711,600067,Filter2
712,603687,
713,600300,Filter2
714,603517,
715,688113,Filter2
716,301095,Filter2
717,603721,Filter3
718,688428,Filter2
719,300476,Filter1
720,000980,Filter2
721,600689,Filter2
722,002563,Filter2
723,688329,Filter2
724,300615,Filter2
725,300642,Filter2
726,000796,
727,002410,Filter2
728,600449,Filter2
729,600743,Filter2
730,300649,Filter2
731,301117,Filter2
732,002875,
733,300590,Filter1
734,688502,Filter2
735,300086,Filter2
736,002932,Filter2
737,002021,Filter2
738,002030,
739,300098,Filter2
740,601777,Filter1
741,688061,Filter2
742,600692,Filter2
743,000501,Filter3
744,002562,Filter2
745,688677,Filter2
746,600543,
747,600626,Filter2
748,605108,
749,300586,Filter2
750,002374,Filter2
751,600196,Filter2
752,688133,Filter2
753,688657,Filter2
754,300585,Filter2
755,301333,Filter2
756,300242,Filter2
757,301269,Filter2
758,002038,
759,603326,Filter3
760,301007,Filter2
761,002149,Filter2
762,688255,Filter2
763,603893,Filter1
764,605011,
765,603197,Filter1
766,688528,Filter3
767,300396,
768,000159,
769,002183,Filter2
770,300736,
771,300148,Filter2
772,601789,Filter2
773,300261,Filter2
774,603332,Filter2
775,601116,Filter2
776,002453,Filter2
777,688450,Filter2
778,603159,Filter2
779,300315,Filter2
780,002166,Filter2
781,600791,Filter2
782,002152,Filter2
783,300601,
784,600495,Filter2
785,002798,Filter3
786,600808,Filter2
787,002513,
788,300206,Filter1
789,000777,Filter2
790,300591,
791,603330,Filter2
792,603999,Filter2
793,002193,Filter2
794,600693,Filter2
795,600037,Filter2
796,603269,Filter3
797,301116,Filter2
798,603777,Filter2
799,603616,Filter2
800,600594,
801,300810,Filter2
802,000058,Filter2
803,600250,Filter2
804,301602,
805,300414,Filter2
806,002657,Filter3
807,301102,Filter2
808,002715,Filter2
809,600847,Filter2
810,603170,Filter2
811,601798,Filter2
812,301201,
813,603021,Filter2
814,600628,Filter2
815,603722,Filter2
816,000017,
817,000753,Filter2
818,002231,Filter2
819,001283,Filter2
820,300213,Filter2
821,000698,Filter2
822,000597,Filter2
823,603057,Filter3
824,603499,Filter3
825,300155,Filter2
826,603150,Filter1
827,300550,Filter2
828,003006,
829,300377,Filter1
830,600307,Filter2
831,000720,
832,002208,Filter2
833,603977,
834,300530,
835,603933,Filter3
836,002339,Filter2
837,002105,Filter2
838,000910,Filter2
839,300382,Filter1
840,000078,
841,300933,Filter2
842,300255,Filter2
843,300289,Filter2
844,603637,Filter2
845,688059,
846,300364,Filter2
847,600423,Filter3
848,000061,Filter2
849,600645,Filter2
850,300710,Filter2
851,300583,Filter2
852,600105,Filter2
853,301182,Filter2
854,000545,
855,002384,Filter2
856,301197,Filter2
857,600604,Filter2
858,603002,Filter2
859,002970,Filter2
860,688215,Filter2
861,000590,Filter2
862,300575,
863,603359,Filter3
864,688636,Filter2
865,300635,Filter2
866,002022,
867,688693,Filter2
868,002436,Filter2
869,600169,Filter2
870,600155,Filter1
871,002285,Filter2
872,000952,Filter2
873,601949,Filter2
874,603378,
875,002072,Filter2
876,300912,Filter2
877,300812,
878,688121,
879,300659,Filter2
880,688392,Filter1
881,300581,Filter2
882,688543,Filter2
883,002935,Filter2
884,300091,Filter2
885,605388,Filter2
886,002427,Filter2
887,600619,Filter2
888,600939,
889,600606,Filter2
890,002749,
891,605188,
892,000599,Filter2
893,603696,Filter2
894,300246,Filter2
895,000504,Filter2
896,600239,
897,688626,
898,001338,Filter2
899,300706,Filter2
900,600498,Filter2
901,600419,
902,605338,Filter2
903,300276,Filter2
904,002589,Filter2
905,603610,Filter2
906,300542,Filter2
907,603679,Filter2
908,600477,Filter2
909,603336,Filter2
910,301301,Filter2
911,300667,Filter2
912,688598,Filter1
913,300395,Filter2
914,688183,Filter1
915,600662,Filter2
916,000953,Filter2
917,600322,Filter3
918,300671,Filter2
919,600661,
920,600981,Filter2
921,002796,Filter2
922,002620,Filter2
923,688385,Filter2
924,301025,Filter2
925,300519,Filter2
926,688096,Filter2
927,002401,Filter2
928,300496,Filter3
929,600518,Filter2
930,300949,Filter2
931,002211,Filter3
932,301221,Filter2
933,002910,Filter2
934,002235,Filter3
935,688237,Filter2
936,600883,Filter2
937,688356,
938,002642,Filter2
939,000523,Filter2
940,000586,Filter3
941,688021,Filter2
942,300094,Filter2
943,300976,Filter2
944,301330,Filter3
945,301178,Filter2
946,301211,Filter3
947,688590,Filter2
948,688607,Filter2
949,600202,Filter2
950,002570,Filter2
951,002344,Filter2
952,002888,Filter2
953,300725,Filter1
954,300139,Filter2
955,600830,Filter2
956,605168,Filter2
957,603177,
958,600827,Filter2
959,600215,Filter2
960,600435,Filter2
961,688213,Filter1
962,300678,Filter3
963,300813,Filter2
964,603867,Filter2
965,000510,Filter2
966,002387,Filter1
967,300138,
968,002609,Filter2
969,688515,Filter1
970,002432,Filter2
971,300101,Filter3
972,300663,Filter2
973,000935,Filter3
974,603520,
975,600834,Filter2
976,002802,Filter3
977,603042,Filter3
978,688081,Filter2
979,600818,Filter2
980,600076,Filter2
981,603887,Filter1
982,600266,
983,002898,Filter2
984,300483,Filter3
985,000635,Filter2
986,688368,Filter2
987,002431,Filter2
988,603207,
989,001278,Filter2
990,000701,Filter2
991,600807,
992,000555,Filter2
993,300031,Filter2
994,300425,Filter2
995,603496,Filter1
996,002486,Filter2
997,688273,Filter2
998,688691,
999,688185,Filter2
1000,688618,
1001,600159,
1002,001337,
1003,600198,Filter2
1004,688701,Filter2
1005,688601,Filter2
1006,688733,Filter2
1007,600822,Filter3
1008,688192,Filter2
1009,603810,Filter2
1010,688789,Filter2
1011,300559,Filter2
1012,002943,
1013,688648,Filter2
1014,600841,Filter2
1015,002445,Filter2
1016,600346,Filter2
1017,002345,Filter2
1018,301097,Filter2
1019,688289,Filter2
1020,600651,Filter2
1021,002713,Filter2
1022,002103,Filter2
1023,603000,Filter2
1024,300778,
1025,688076,
1026,300781,Filter2
1027,688592,Filter2
1028,601058,Filter2
1029,000068,Filter3
1030,300429,Filter1
1031,300713,Filter2
1032,603779,Filter2
1033,300417,Filter2
1034,603778,
1035,300237,Filter2
1036,002269,Filter2
1037,301312,Filter2
1038,688613,Filter2
1039,688103,Filter2
1040,600550,
1041,600271,Filter2
1042,002855,
1043,002799,Filter3
1044,601216,Filter3
1045,603979,
1046,603818,
1047,603533,Filter2
1048,603877,Filter2
1049,300410,
1050,300826,Filter2
1051,300002,Filter2
1052,603103,
1053,000156,Filter2
1054,600789,Filter2
1055,300692,Filter3
1056,300144,
1057,002682,Filter2
1058,000955,Filter2
1059,603707,Filter2
1060,002291,Filter3
1061,300691,Filter1
1062,002847,Filter2
1063,002355,Filter2
1064,000547,
1065,002398,Filter2
1066,600691,Filter2
1067,003016,
1068,688002,Filter2
1069,603630,Filter2
1070,688311,Filter2
1071,603711,Filter2
1072,002243,Filter2
1073,300110,
1074,603168,
1075,301126,Filter2
1076,002551,Filter2
1077,300869,
1078,301061,Filter2
1079,002055,
1080,300250,Filter2
1081,688110,Filter2
1082,300940,Filter2
1083,002302,
1084,301357,
1085,600446,Filter2
1086,600684,Filter2
1087,603993,
1088,603232,Filter2
1089,002902,
1090,603315,Filter2
1091,600386,Filter2
1092,688499,
1093,603206,Filter2
1094,603456,
1095,002338,Filter2
1096,600503,Filter2
1097,600162,Filter2
1098,600172,Filter2
1099,002774,Filter3
1100,002076,Filter2
1101,000553,Filter2
1102,300248,Filter2
1103,002591,Filter2
1104,600774,Filter2
1105,600088,
1106,002210,Filter2
1107,603255,
1108,301055,Filter2
1109,688519,Filter2
1110,300158,
1111,603316,Filter2
1112,300464,Filter2
1113,603226,Filter2
1114,688387,Filter2
1115,600257,
1116,301421,Filter2
1117,002632,Filter2
1118,601007,Filter2
1119,002655,Filter1
1120,002649,Filter2
1121,300700,Filter2
1122,300435,Filter2
1123,600576,Filter2
1124,600800,Filter2
1125,300929,Filter2
1126,002652,Filter2
1127,300386,Filter2
1128,600467,Filter2
1129,603286,Filter2
1130,688589,Filter2
1131,300203,Filter2
1132,603278,Filter1
1133,300762,Filter2
1134,600763,
1135,603029,Filter2
1136,603222,Filter2
1137,688317,Filter2
1138,600455,Filter2
1139,300130,Filter2
1140,300456,Filter2
1141,688480,
1142,300513,Filter2
1143,002925,Filter2
1144,600119,Filter2
1145,600611,
1146,002675,Filter2
1147,688020,Filter2
1148,301315,Filter3
1149,300780,Filter2
1150,600100,Filter2
1151,605337,Filter2
1152,301509,
1153,600843,Filter3
1154,600610,
1155,600507,Filter2
1156,300771,Filter2
1157,600721,Filter2
1158,300876,Filter2
1159,600129,Filter3
1160,600734,Filter2
1161,688052,Filter1
1162,002177,Filter2
1163,300308,Filter1
1164,605081,Filter2
1165,600776,Filter2
1166,603258,Filter2
1167,301287,Filter2
1168,300157,Filter2
1169,000717,Filter2
1170,300743,Filter2
1171,600053,
1172,300238,Filter2
1173,601698,Filter2
1174,300077,Filter2
1175,600729,Filter2
1176,688280,Filter2
1177,002900,Filter2
1178,688535,Filter2
1179,000676,Filter2
1180,301235,Filter3
1181,603238,Filter2
1182,000663,Filter2
1183,300862,
1184,001318,Filter2
1185,000692,Filter3
1186,002186,Filter2
1187,688291,Filter2
1188,600199,
1189,003007,Filter2
1190,002343,Filter2
1191,600833,Filter2
1192,300872,Filter3
1193,002480,Filter2
1194,300269,Filter2
1195,002520,Filter1
1196,600408,Filter2
1197,002999,Filter2
1198,002560,Filter2
1199,301105,Filter2
1200,002135,Filter2
1201,002438,Filter2
1202,600135,Filter2
1203,300584,
1204,300490,
1205,002470,Filter2
1206,003026,
1207,600400,
1208,300306,Filter2
1209,002780,Filter2
1210,300334,Filter2
1211,300256,Filter2
1212,300234,Filter2
1213,300162,Filter2
1214,300310,Filter2
1215,688496,
1216,301297,Filter3
1217,002654,Filter2
1218,603001,Filter3
1219,002989,Filter2
1220,600084,
1221,300749,Filter2
1222,600962,
1223,002250,Filter1
1224,001287,Filter2
1225,603099,Filter3
1226,000011,
1227,000532,Filter1
1228,002696,Filter2
1229,002414,Filter2
1230,688055,Filter2
1231,600811,
1232,000517,Filter3
1233,600609,Filter1
1234,300479,Filter2
1235,300796,
1236,603712,
1237,600110,Filter2
1238,300653,
1239,300190,
1240,603086,Filter2
1241,000627,Filter2
1242,603602,Filter1
1243,002865,Filter1
1244,688156,
1245,002317,
1246,605336,Filter2
1247,300752,Filter2
1248,002786,
1249,002383,Filter2
1250,301049,
1251,603373,Filter2
1252,300793,Filter2
1253,688699,Filter2
1254,002194,Filter2
1255,603839,Filter2
1256,603955,Filter2
1257,000516,
1258,603345,
1259,300723,
1260,603948,Filter3
1261,002482,Filter2
1262,600157,Filter2
1263,301339,Filter2
1264,300405,Filter2
1265,600505,Filter3
1266,603949,Filter2
1267,601568,
1268,300687,Filter2
1269,300344,Filter1
1270,002109,
1271,000788,Filter2
1272,300531,Filter2
1273,300816,Filter2
1274,600249,Filter2
1275,301390,Filter2
1276,603697,Filter2
1277,601515,
1278,002661,Filter2
1279,688721,
1280,002677,
1281,001208,Filter2
1282,688551,
1283,300331,Filter2
1284,301177,Filter2
1285,002382,
1286,002907,
1287,300358,
1288,688328,Filter2
1289,603883,
1290,603898,Filter2
1291,002969,Filter2
1292,605377,
1293,603698,Filter2
1294,688033,
1295,603193,Filter1
1296,300942,Filter2
1297,300878,
1298,688787,Filter2
1299,300715,Filter2
1300,300510,
1301,002293,
1302,000917,Filter2
1303,001328,Filter2
1304,601996,Filter2
1305,300177,Filter1
1306,002763,
1307,002096,
1308,603421,Filter3
1309,300486,Filter2
1310,002264,Filter2
1311,000069,
1312,000534,Filter2
1313,300474,Filter2
1314,300318,Filter2
1315,002524,
1316,002198,Filter2
1317,688375,Filter2
1318,688137,
1319,000010,Filter2
1320,002494,Filter2
1321,300011,Filter2
1322,300350,Filter2
1323,000736,Filter3
1324,000524,Filter2
1325,600965,Filter2
1326,002216,Filter2
1327,600106,Filter3
1328,001331,Filter2
1329,301408,Filter2
1330,688718,Filter2
1331,688056,Filter2
1332,002084,Filter2
1333,002949,Filter3
1334,002883,Filter2
1335,301066,Filter2
1336,600613,Filter2
1337,300492,
1338,301137,Filter3
1339,301626,Filter1
1340,300722,Filter2
1341,600638,Filter2
1342,002107,Filter2
1343,000965,
1344,300916,Filter2
1345,300504,Filter3
1346,300922,Filter2
1347,300517,Filter2
1348,603888,Filter2
1349,300204,
1350,688276,
1351,300182,Filter2
1352,002303,Filter2
1353,603027,
1354,600754,Filter2
1355,002526,Filter1
1356,300647,
1357,002437,Filter2
1358,002487,
1359,002645,
1360,605358,Filter2
1361,300179,Filter2
1362,603580,
1363,605028,Filter3
1364,300665,Filter2
1365,300553,Filter2
1366,600683,
1367,300656,
1368,300634,Filter2
1369,000561,Filter2
1370,603139,Filter2
1371,603998,Filter2
1372,000151,Filter2
1373,688105,
1374,688098,Filter2
1375,301100,Filter2
1376,688180,
1377,301040,
1378,002219,Filter2
1379,688409,Filter2
1380,002370,Filter2
1381,002636,Filter3
1382,300865,Filter2
1383,603950,Filter2
1384,300884,Filter2
1385,688458,Filter2
1386,603683,Filter2
1387,300279,Filter2
1388,605369,
1389,002646,
1390,300489,Filter2
1391,688189,
1392,002769,Filter3
1393,002946,Filter2
1394,002491,Filter2
1395,300412,Filter2
1396,603817,Filter2
1397,600265,Filter2
1398,000608,Filter2
1399,688443,
1400,300439,Filter2
1401,300539,Filter2
1402,300941,Filter3
1403,000016,Filter2
1404,920019,
1405,300830,Filter2
1406,603595,
1407,300620,Filter2
1408,688639,Filter2
1409,301085,Filter2
1410,002868,Filter3
1411,600527,Filter2
1412,603488,
1413,300938,Filter2
1414,300897,Filter3
1415,601588,Filter2
1416,688478,Filter2
1417,603065,
1418,300076,Filter2
1419,300731,Filter1
1420,300044,Filter2
1421,600676,Filter2
1422,301566,
1423,300284,Filter2
1424,300917,
1425,605100,Filter2
1426,688068,Filter2
1427,600513,Filter3
1428,603067,Filter2
1429,002631,
1430,688026,Filter2
1431,300989,Filter2
1432,301365,Filter2
1433,600725,Filter2
1434,003030,Filter3
1435,002460,Filter2
1436,002268,Filter2
1437,603153,Filter2
1438,001336,Filter2
1439,301256,Filter2
1440,301515,
1441,300462,Filter2
1442,600850,Filter2
1443,301281,Filter2
1444,301199,Filter2
1445,600967,Filter1
1446,002572,Filter2
1447,603815,Filter2
